cluster_name,acousticness,instrumentalness,speechiness,popularity
Instrumental Focus,0.0241,0.0553,0.103,59
Instrumental Focus,0.199,0.0353,0.0395,26
Acoustic Instrumental,0.362,0.37,0.0444,34
Instrumental Focus,0.28,0.0052,0.0419,34
Acoustic Instrumental,0.393,0.0107,0.0852,76
Acoustic Instrumental,0.393,0.0107,0.0852,77
Instrumental Focus,0.00196,0.038,0.0297,71
Acoustic Instrumental,0.497,0.00559,0.0773,70
Acoustic Instrumental,0.081,0.00784,0.153,71
Acoustic Instrumental,0.00069,0.652,0.0456,65
Instrumental Focus,0.0386,0.0731,0.0498,68
Acoustic Instrumental,0.081,0.00784,0.153,60
Acoustic Instrumental,0.249,0.187,0.199,62
Instrumental Focus,0.0386,0.0731,0.0498,58
Acoustic Instrumental,0.744,0.0157,0.0486,66
Instrumental Focus,0.00454,0.18,0.102,65
Acoustic Instrumental,0.00785,2.91e-06,0.249,55
Acoustic Instrumental,0.000203,0.781,0.0453,61
Acoustic Instrumental,0.00785,2.91e-06,0.249,55
Instrumental Focus,0.0709,0.000231,0.0488,57
Acoustic Instrumental,0.262,0.511,0.0384,59
Instrumental Focus,0.00442,0.00516,0.0427,60
Acoustic Instrumental,0.0375,0.918,0.197,54
Instrumental Focus,0.00442,0.00516,0.0427,49
Acoustic Instrumental,0.744,0.0157,0.0486,50
Instrumental Focus,0.00051,0.201,0.0826,54
Acoustic Instrumental,0.00543,6.86e-06,0.167,58
Instrumental Focus,0.0951,1.61e-05,0.0358,49
Acoustic Instrumental,0.48,0.587,0.143,52
Instrumental Focus,0.12,0.00406,0.0421,56
Instrumental Focus,0.0311,0.0799,0.0554,49
Acoustic Instrumental,0.497,0.00559,0.0773,55
Acoustic Instrumental,0.00267,0.854,0.134,46
Acoustic Instrumental,0.18,0.594,0.112,55
Acoustic Instrumental,0.00267,0.854,0.134,55
Acoustic Instrumental,0.18,0.594,0.112,45
Acoustic Instrumental,0.437,0.0102,0.0969,42
Acoustic Instrumental,0.032,1.23e-06,0.191,46
Acoustic Instrumental,0.152,0.916,0.0321,50
Acoustic Instrumental,0.249,0.187,0.199,53
Acoustic Instrumental,0.524,0.0588,0.0704,41
Acoustic Instrumental,0.275,0.962,0.0457,45
Acoustic Instrumental,0.00543,6.86e-06,0.167,57
Acoustic Instrumental,0.421,0.0539,0.632,35
Acoustic Instrumental,0.032,1.23e-06,0.191,44
Acoustic Instrumental,0.634,1.43e-05,0.125,37
Instrumental Focus,0.033,0.032,0.0649,43
Instrumental Focus,0.0252,1.3e-06,0.0986,47
Acoustic Instrumental,0.507,0.626,0.0642,45
Acoustic Instrumental,0.168,0.000965,0.258,43
Instrumental Focus,0.00216,0.0151,0.0988,43
Acoustic Instrumental,0.773,8.54e-06,0.0299,50
Instrumental Focus,0.0774,1.42e-05,0.1,38
Instrumental Focus,0.115,0.00126,0.11,30
Acoustic Instrumental,0.437,0.0102,0.0969,31
Acoustic Instrumental,0.221,0.386,0.256,29
Instrumental Focus,0.283,0.291,0.0662,42
Instrumental Focus,0.0283,1.07e-06,0.0616,42
Acoustic Instrumental,0.00069,0.652,0.0456,40
Instrumental Focus,0.287,0.000385,0.0415,28
Acoustic Instrumental,0.256,0.000325,0.214,28
Instrumental Focus,0.0252,1.3e-06,0.0986,47
Instrumental Focus,0.22,3.71e-06,0.0377,29
Instrumental Focus,0.0671,0.00768,0.0431,38
Acoustic Instrumental,0.188,1.72e-06,0.215,44
Instrumental Focus,0.212,3.52e-06,0.129,28
Acoustic Instrumental,0.573,3.12e-05,0.0344,29
Acoustic Instrumental,0.798,0.00851,0.04,41
Acoustic Instrumental,0.168,0.000965,0.258,40
Acoustic Instrumental,0.51,9.39e-06,0.128,28
Acoustic Instrumental,0.00705,1.93e-05,0.164,41
Acoustic Instrumental,0.618,0.000131,0.0433,27
Acoustic Instrumental,0.469,6.19e-05,0.388,27
Acoustic Instrumental,0.345,0.00406,0.268,26
Acoustic Instrumental,0.0764,1.15e-06,0.201,26
Instrumental Focus,0.0556,1.21e-06,0.0943,27
Instrumental Focus,0.0283,1.07e-06,0.0616,41
Acoustic Instrumental,0.813,0.0789,0.0366,33
Instrumental Focus,0.00442,0.00516,0.0427,35
Acoustic Instrumental,0.86,6.48e-05,0.107,29
Acoustic Instrumental,0.524,0.0588,0.0704,42
Instrumental Focus,0.0894,0.000232,0.0385,38
Acoustic Instrumental,0.00705,1.93e-05,0.164,38
Acoustic Instrumental,0.18,0.594,0.112,30
Acoustic Instrumental,0.125,4.73e-05,0.159,28
Acoustic Instrumental,0.81,0.0123,0.0273,27
Acoustic Instrumental,0.206,0.395,0.172,27
Acoustic Instrumental,0.48,0.587,0.143,26
Acoustic Instrumental,0.428,2.67e-06,0.0319,28
Acoustic Instrumental,0.00069,0.652,0.0456,27
Acoustic Instrumental,0.745,0.0247,0.0409,34
